Book,Book Number,Chapters Overall,Chapters in Book,Chapter Key,Chapter Title,Page Start,Page End
Harry Potter and the Sorceror's Stone,1,1,1,1.01,The Boy Who Lived,1,19
Harry Potter and the Sorceror's Stone,1,2,2,1.02,The Vanishing Glass,20,33
Harry Potter and the Sorceror's Stone,1,3,3,1.03,The Letters from No One,34,50
Harry Potter and the Sorceror's Stone,1,4,4,1.04,The Keeper of Keys,51,67
Harry Potter and the Sorceror's Stone,1,5,5,1.05,Diagon Alley,68,97
Harry Potter and the Sorceror's Stone,1,6,6,1.06,The Journey from Platform Nine and Three-Quarters,98,126
Harry Potter and the Sorceror's Stone,1,7,7,1.07,The Sorting Hat,127,146
Harry Potter and the Sorceror's Stone,1,8,8,1.08,The Potions Master,147,159
Harry Potter and the Sorceror's Stone,1,9,9,1.09,The Midnight Duel,160,182
Harry Potter and the Sorceror's Stone,1,10,10,1.1,Hallowe'en,183,201
Harry Potter and the Sorceror's Stone,1,11,11,1.11,Quidditch,202,216
Harry Potter and the Sorceror's Stone,1,12,12,1.12,The Mirror of Erised,217,240
Harry Potter and the Sorceror's Stone,1,13,13,1.13,Nicholas Flamel,241,255
Harry Potter and the Sorceror's Stone,1,14,14,1.14,Norbert the Norwegian Ridgeback,256,271
Harry Potter and the Sorceror's Stone,1,15,15,1.15,The Forbidden Forest,272,293
Harry Potter and the Sorceror's Stone,1,16,16,1.16,Through the Trapdoor,294,323
Harry Potter and the Sorceror's Stone,1,17,17,1.17,The Man with Two Faces,324,348
Harry Potter and the Chamber of Secrets,2,18,1,2.01,The Worst Birthday,1,13
Harry Potter and the Chamber of Secrets,2,19,2,2.02,Dobby’s Warning,14,27
Harry Potter and the Chamber of Secrets,2,20,3,2.03,The Burrow,28,47
Harry Potter and the Chamber of Secrets,2,21,4,2.04,At Flourish and Blotts,48,72
Harry Potter and the Chamber of Secrets,2,22,5,2.05,The Whomping Willow,73,95
Harry Potter and the Chamber of Secrets,2,23,6,2.06,Gilderoy Lockhart,96,115
Harry Potter and the Chamber of Secrets,2,24,7,2.07,Mudbloods and Murmurs,116,135
Harry Potter and the Chamber of Secrets,2,25,8,2.08,The Deathday Party,136,155
Harry Potter and the Chamber of Secrets,2,26,9,2.09,The Writing on the Wall,156,179
Harry Potter and the Chamber of Secrets,2,27,10,2.1,The Rogue Bludger,180,202
Harry Potter and the Chamber of Secrets,2,28,11,2.11,The Duelling Club,203,228
Harry Potter and the Chamber of Secrets,2,29,12,2.12,The Polyjuice Potion,229,252
Harry Potter and the Chamber of Secrets,2,30,13,2.13,The Very Secret Diary,253,276
Harry Potter and the Chamber of Secrets,2,31,14,2.14,Cornelius Fudge,277,294
Harry Potter and the Chamber of Secrets,2,32,15,2.15,Aragog,295,314
Harry Potter and the Chamber of Secrets,2,33,16,2.16,The Chamber of Secrets,315,340
Harry Potter and the Chamber of Secrets,2,34,17,2.17,The Heir of Slytherin,341,363
Harry Potter and the Chamber of Secrets,2,35,18,2.18,Dobby’s Reward,364,380
Harry Potter and the Prisoner of Azkaban,3,36,1,3.01,Owl Post,1,16
Harry Potter and the Prisoner of Azkaban,3,37,2,3.02,Aunt Marge’s Big Mistake,17,33
Harry Potter and the Prisoner of Azkaban,3,38,3,3.03,The Knight Bus,34,53
Harry Potter and the Prisoner of Azkaban,3,39,4,3.04,The Leaky Cauldron,54,75
Harry Potter and the Prisoner of Azkaban,3,40,5,3.05,The Dementor,76,105
Harry Potter and the Prisoner of Azkaban,3,41,6,3.06,Talons and Tea Leaves,106,135
