Character,7 Intro,7 Last Seen
Harry Potter,7.2,7.37
Hermione Granger,7.4,7.37
Ronald Weasley,7.4,7.37
Fred Weasley,7.4,7.31
George Weasley,7.4,7.36
Ginny Weasley,7.5,7.37
Albus Dumbledore,,
Voldemort,7.1,7.36
Draco Malfoy,7.1,7.37
Minerva McGonagall,7.3,7.36
Lucius Malfoy,7.1,7.36
Bellatrix Lestrange,7.1,7.36
Remus Lupin,7.4,7.31
Sirius Black,,
Peter Pettigrew,7.1,7.23
Rubeus Hagrid,7.4,7.36
Argus Filch,7.3,7.31
Arabella Figg,,
Cedric Diggory,,
Viktor Krum,7.8,7.8
Fleur Delacour,7.4,7.33
Severus Snape,,
Vernon Dursley,7.3,7.3
Petunia Dursley,7.3,7.3
Dudley Dursley,7.3,7.3
Dobby,7.23,7.23
Filius Flitwick,7.3,7.36
Pomona Sprout,7.3,7.36
Sybill Trelawney,7.32,7.32
Quirinus Quirrell,,
Cuthbert Binns,,
Barty Crouch Jr.,,
Barty Crouch,,
Alastar Moody,7.4,7.4
Lavender Brown,7.32,7.32
Parvati Patil,7.32,7.32
Seasmus Finnegan,7.29,7.36
Neville Longbottom,7.28,7.36
Dean Thomas,7.15,7.32
Hannah Abbott,7.31,7.36
Susan Bones,,
Ernie Macmillan,7.29,7.32
Justin Finch-Fletchley,,
Vincent Crabbe,7.31,7.31
Gregory Goyle,7.31,7.31
Padma Patil,7.29,7.29
Michael Corner,7.29,7.29
Anthony Goldstein,7.29,7.29
Terry Boot,7.29,7.29
Cho Chang,7.29,7.29
Pansy Parkinson,7.31,7.31
Blaise Zabini,,
Theodore Nott,,
Cormac McLaggen,,
Katie Bell,7.30,7.30
Lee Jordan,7.08,7.36
Angelina Johnson,7.30,7.30
Roger Davies,,
Alicia Spinnet,7.30,7.30
Percy Weasley,7.13,7.36
Charlie Weasley,7.07,7.36
Bill Weasley,7.04,7.33
Penelope Clearwater,,
Oliver Wood,7.30,7.34
Marcus Flint,,
Nymphadora Tonks,7.04,7.31
Gilderoy Lockhart,,
Andromeda Tonks,7.05,7.05
Narcissa Malfoy,7.01,7.36
Molly Weasley,7.05,7.36
Arthur Weasley,7.04,7.33
Firenze,7.31,7.36
Bane,7.36,7.36
Aragog,,
Dennis Creevey,,
Colin Creevey,,
Zacharias Smith,7.31,7.31
Luna Lovegood,7.08,7.36
