,5 Intro,5 Last Seen
Harry Potter,5.1,5.38
Hermione Granger,5.4,5.38
Ronald Weasley,5.4,5.38
Fred Weasley,5.4,5.38
George Weasley,5.4,5.38
Ginny Weasley,5.4,5.38
Albus Dumbledore,5.8,5.37
Voldemort,5.36,5.36
Draco Malfoy,5.1,5.32
Minerva McGonagall,5.6,5.38
Lucius Malfoy,5.9,5.35
Bellatrix Lestrange,5.34,5.36
Remus Lupin,5.3,5.38
Sirius Black,5.4,5.35
Peter Pettigrew,,
Rubeus Hagrid,5.6,5.38
Argus Filch,5.14,5.3
Arabella Figg,5.1,5.8
Cedric Diggory,,
Viktor Krum,,
Fleur Delacour,,
Severus Snape,5.6,5.38
Vernon Dursley,5.1,5.38
Petunia Dursley,5.1,5.38
Dudley Dursley,5.1,5.38
Dobby,5.18,5.27
Filius Flitwick,5.13,5.31
Pomona Sprout,5.11,5.31
Sybill Trelawney,5.12,5.26
Quirinus Quirrell,,
Cuthbert Binns,5.12,5.29
Barty Crouch Jr.,,
Barty Crouch,,
Alastor Moody,5.3,5.38
Lavender Brown,5.11,5.31
Parvati Patil,5.11,5.31
Seamus Finnegan,5.11,5.32
Neville Longbottom,5.1,5.38
Dean Thomas,5.11,5.32
Hannah Abbott,5.16,5.38
Susan Bones,5.16,5.38
Ernie Macmillan,5.11,5.38
Justin Finch-Fletchley,5.16,5.38
Vincent Crabbe,5.10,5.38
Gregory Goyle,5.10,5.38
Padma Patil,5.16,5.31
Michael Corner,5.16,5.18
Anthony Goldstein,5.16,5.38
Terry Boot,5.16,5.38
Cho Chang,5.10,5.38
Pansy Parkinson,5.10,5.31
Blaise Zabini,,
Theodore Nott,5.26,5.26
Cormac McLaggen,,
Katie Bell,5.13,5.31
Lee Jordan,5.10,5.31
Angelina Johnson,5.12,5.31
Roger Davies,5.25,5.30
Alicia Spinnet,5.13,5.31
Percy Weasley,5.08,5.27
Charlie Weasley,,
Bill Weasley,5.05,5.23
Penelope Clearwater,,
Oliver Wood,,
Marcus Flint,,
Nymphadora Tonks,5.03,5.38
Gilderoy Lockhart,5.23,5.23
Andromeda Tonks,,
Narcissa Malfoy,,
Molly Weasley,5.04,5.38
Arthur Weasley,5.05,5.38
Firenze,5.26,5.27
Bane,5.3,5.33
Aragog,,
Dennis Creevey,5.11,5.16
Colin Creevey,5.11,5.31
Zacharias Smith,5.16,5.26
Luna Lovegood,5.10,5.38
